"","Case.Number","Incident.City","Incident.State","Incident.Zip","Vehicle.Type","Vehicle.Color","Offender.Race","Offender.Gender","Offender.Perceived.Age"
"1",1260468,"Bridgeport","CT",6610,"Van","Burgundy","Unknown","Male","Unknown"
"2",1260612,"Kansas City","MO",64124,"Truck","White","Unknown","Male","Unknown"
"3",1260632,"Marysville","OH",43040,"Truck","Black","White","Male","30-39"
"4",1260641,"Dayton","TX",77535,"Sport Utility","White","White","Male","30-39"
"5",1260904,"Kansas City","MO",64152,"Sedan, 4 door","Red","White","Male","40-49"
"6",1260962,"Magnolia","TX",77354,"Truck","White","Hispanic","Male","Unknown"
"7",1261325,"Roswell","NM",88203,"Pickup Truck","White","Hispanic","Male","Unknown"
"8",1261337,"Dallas","TX",75203,"Sedan, 4 door","Black","Hispanic","Male","Unknown"
"9",1261491,"Venus","TX",76084,"Pickup Truck","Dark","White","Male","Unknown"
"10",1261500,"Oroville","CA",95966,"Sport Utility","Gold","Black","Male","Unknown"
"11",1261645,"Chicago","IL",60652,"Pickup Truck","Black","Black","Male","40-45"
"12",1261870,"Lockport","NY",14094,"Van","Black","White","Male","Unknown"
"13",1261938,"Fulshear","TX",77441,"Sedan, 4 door","Silver","White","Male","40-50"
"14",1261941,"Brooklyn","NY",11226,"Van","Gray","Black","Male","40"
"15",1261968,"Cleveland","OH",44135,"Sedan, 4 door","White","Unknown","Unknown","Unknown"
"16",1262294,"Lake St. Louis","MO",63367,"Pickup Truck","Gray","White","Male","30-49"
"17",1262295,"Lake St. Louis","MO",63367,"Pickup Truck","Gray","White","Male","30-49"
"18",1262348,"Brazil","IN",47834,"Sedan, 4 door","Blue","Unknown","Male","30-40"
"19",1262695,"Chicago","IL",60646,"Sedan, 4 door","Black","Unknown","Unknown","Unknown"
"20",1262696,"Chicago","IL",60634,"Sport Utility","White","Unknown","Unknown","Unknown"
"21",1262706,"Essex","VT",5452,"Van","Red","Unknown","Male","18-23"
"22",1262796,"Marysville","OH",43040,"Truck","Beige","White","Male","30-39"
"23",1263213,"El Monte","CA",91733,"Sedan, 4 door","Silver","Hispanic","Male","50-60"
"24",1263298,"Luther","OK",73054,"Van","White","White","Male","Unknown"
"25",1263317,"Delaware","OH",43015,"Truck","Gray","White","Male","30-40"
"26",1263462,"Hilliard","OH",43026,"Van","Gray","Hispanic","Male","Unknown"
"27",1263463,"San Ysidro","CA",92173,"Pickup Truck","Black","Hispanic","Male","Unknown"
"28",1263471,"Chula Vista","CA",91911,"Van","White","Black","Male","Unknown"
"29",1263490,"Van Alstyne","TX",75495,"Van","White","White","Male","Unknown"
"30",1263906,"Pompano Beach","FL",33060,"Sport Utility","Tan","Unknown","Male","48-53"
"31",1264459,"Stockton","CA",95219,"Station Wagon","Black","Black","Male","60-69"
"32",1264474,"Montclair","NJ",7042,"Van","Beige","Unknown","Male","Unknown"
"33",1264475,"Enola","PA",17025,"Sedan, 4 door","Red","Unknown","Male","Unknown"
"34",1264559,"Berkeley","CA",94703,"Van","Green","Unknown","Male","Unknown"
"35",1264573,"Sacramento","CA",95819,"Sedan, 4 door","Dark","Biracial","Male","20-29"
"36",1264574,"Chicago","IL",60639,"Sedan, 2 door","Blue","Unknown","Male","Unknown"
"37",1264722,"Redford Charter Township","MI",48239,"Van","White","White","Male","Unknown"
"38",1265058,"Essex","VT",5452,"Truck","Blue, Dark","Unknown","Male","Unknown"
"39",1265179,"Anna","TX",75409,"Van","Green","White","Male","50-60"
"40",1265256,"Pittsfield","MA",1201,"Van","Black","Unknown","Male","Unknown"
"41",1265323,"Washington","PA",15301,"Van","White","Unknown","Male","Unknown"
"42",1265324,"Washington","PA",15301,"Van","White","Unknown","Male","Unknown"
"43",1265408,"Hampton","SC",29924,"Van","Blue","Black","Male","60"
"44",1265432,"Bainbridge Island","WA",98110,"Pickup Truck","White","White","Male","Unknown"
"45",1265434,"Bainbridge Island","WA",98110,"Sedan, 4 door","Gray","White","Male","Unknown"
"46",1265662,"Heath","OH",43056,"Truck","Black","White","Male","Unknown"
"47",1265663,"Corpus Christi","TX",78405,"Sedan, 4 door","Black","Unknown","Male","Unknown"
"48",1265759,"Berkeley","CA",94707,"Sedan, 4 door","Blue","Unknown","Male","Unknown"
"49",1266023,"Ossining","NY",10562,"Van","White","Unknown","Male","Unknown"
"50",1266029,"Newnan","GA",30265,"Truck","white","White","Male","Unknown"
"51",1266049,"Lake Butler","FL",32054,"Van","Dark","White","Male","35-50"
"52",1266276,"Cold Spring Harbor","NY",11724,"Sedan, 4 door","Tan","Hispanic","Male","20-29"
"53",1266308,"Lebanon","TN",37087,"Sedan, 4 door","Gray","White","Male","50-60"
"54",1266309,"Omaha","NE",68138,"Van","White","White","Male","Unknown"
"55",1266311,"Chicago","IL",60624,"Sedan, 4 door","Blue, Dark","White","Male","35-45"
"56",1266318,"Wichita Falls","TX",76306,"Truck","Red","Unknown","Male","Unknown"
"57",1266471,"Carlsbad","CA",92009,"Van","White","Unknown","Male","20-40"
"58",1266725,"Lakeway","TX",78738,"Truck","White","White","Male","35-40"
"59",1266807,"Arlington","VA",22207,"Pickup Truck","Blue","Hispanic","Male","40-50"
"60",1266821,"Immokalee","FL",34142,"Pickup Truck","White","Black","Male","30-35"
"61",1266928,"Hartford","IA",50118,"Sport Utility","White","White","Male","30-35"
"62",1267185,"Belmont","CA",94002,"Pickup Truck","Brown","Hispanic","Male","45-49"
"63",1267195,"Wichita","KS",67230,"Van","Black","White","Male","Unknown"
"64",1267793,"Chicago","IL",60645,"Sport Utility","Black","White","Male","17-20"
"65",1267918,"Victoria","TX",77901,"Pickup Truck","Gray","Unknown","Male","Unknown"
"66",1267989,"Deerfield Township","MI",48461,"Pickup Truck","Red","White","Male","40-49"
"67",1268087,"Oceanside","CA",92057,"Pickup Truck","Black","White","Male","30-39"
"68",1268125,"Parrottsville","TN",37843,"Van","Blue, Dark","White","Male","Unknown"
"69",1268906,"Fort Walton Beach","FL",32547,"Van","Green","Unknown","Male","Unknown"
"70",1268914,"Greenwood","IN",46143,"Pickup Truck","White","White","Male","Unknown"
"71",1269266,"San Diego","CA",92173,"Sedan, 4 door","Red","Hispanic","Male","35-40"
"72",1269869,"Arlington","VA",22204,"Pickup Truck","Dark","Hispanic","Male","30-39"
"73",1269870,"Arlington","VA",22203,"Pickup Truck","Blue, Dark","Hispanic","Male","Unknown"
"74",1269895,"Sunbury","PA",17801,"Van","Blue","Unknown","Male","30-49"
"75",1270414,"Clarksville","TN",37042,"Van","Red","White","Male","40-49"
"76",1270469,"Wind Gap","PA",18091,"Van","Brown","Unknown","Male","Unknown"
"77",1270475,"Bronx","NY",10451,"Sport Utility","Black","White","Male","30"
"78",1270485,"Brunswick","ME",4011,"Pickup Truck","Black","White","Male","Unknown"
"79",1270755,"Muskogee","OK",74403,"Truck","Black","White","Male","Unknown"
"80",1270938,"Redmond","WA",98052,"Truck","Gray","White","Male","40-49"
"81",1270940,"Richmond","VA",23220,"Van","White","White","Male","35"
"82",1270942,"Fort Madison","IA",52627,"Sedan, 4 door","White","White","Male","29-35"
"83",1270960,"Oak Grove","MO",64075,"Sedan, 4 door","White","White","Male","50-59"
"84",1270969,"Hampton","IL",61256,"Van","Blue, Light","Unknown","Male","Unknown"
"85",1270971,"Buffalo","NY",14220,"Van","White","White","Male","Unknown"
"86",1271275,"Vidor","TX",77662,"Pickup Truck","Gray","Unknown","Male","Unknown"
"87",1271377,"Chicago","IL",60624,"Sedan, 4 door","Red","Black","Male","30-40"
"88",1271829,"Bryan","TX",77803,"Pickup Truck","White","White","Male","Unknown"
"89",1272213,"Levittown","PA",19057,"Pickup Truck","Red","White","Male","40-45"
"90",1272221,"Maplewood","NJ",7040,"Van","Red","White","Male","Unknown"
"91",1272235,"Petoskey","MI",49770,"Sport Utility","Red","White","Male","50-60"
"92",1272237,"Petoskey","MI",49770,"Van","Gray","White","Male","50-60"
"93",1272247,"Petoskey","MI",49770,"Van","White","White","Male","50-60"
"94",1272323,"Rockingham","NH",3833,"Pickup Truck","Red","White","Male","Unknown"
"95",1272675,"Chicago","IL",60624,"Van","Silver","White","Male","25-35"
"96",1272761,"Peekskill","NY",10566,"Van","White","White","Male","40-50"
"97",1273009,"Albany","OR",97322,"Van","White","Unknown","Male","Unknown"
"98",1273304,"Ammon","ID",83406,"Van","Tan","Hispanic","Male","Unknown"
"99",1273395,"Feasterville-Trevose","PA",19053,"Sedan, 2 door","Blue","White","Male","Unknown"
"100",1273422,"Winnetka","IL",60093,"Sport Utility","Black","Unknown","Male","25-45"
"101",1273818,"Cedar Falls","IA",50613,"Sedan, 4 door","Silver","Unknown","Male","35-39"
"102",1273907,"Griffith","IN",46319,"Pickup Truck","Red","Unknown","Male","45-50"
"103",1274000,"Seguin","TX",78155,"Pickup Truck","White","Hispanic","Male","50-69"
"104",1274197,"Shell Rock","IA",50670,"Van","White","White","Male","Unknown"
"105",1274314,"Harrisburg","PA",17109,"Pickup Truck","Red","White","Male","50-60"
"106",1274619,"Tamaqua","PA",18252,"Sport Utility","Dark","Unknown","Male","Unknown"
"107",1274821,"Omaha","NE",68137,"Truck","Black","White","Male","Unknown"
"108",1274822,"Omaha","NE",68137,"Truck","Black","White","Male","Unknown"
"109",1275093,"Augusta","GA",30907,"Sedan, 4 door","Gray","Black","Male","20-29"
"110",1275158,"Bridgewater","MA",2324,"Van","Black","Black","Male","20-29"
"111",1275626,"Floyd","VA",24091,"Van","White","White","Male","40-49"
"112",1275707,"Seattle","WA",98108,"Sport Utility","Black","Asian","Male","50-59"
"113",1275728,"Harrisburg","PA",17109,"Van","White","Hispanic","Male","30-39"
"114",1275828,"Naples","FL",34116,"Sedan, 4 door","Black","Black","Male","30-40"
"115",1276027,"Florence","KY",41042,"Pickup Truck","Red","Unknown","Male","Unknown"
"116",1276142,"Omaha","NE",68137,"Pickup Truck","Black","White","Male","Unknown"
"117",1276151,"Poughkeepsie","NY",12601,"Van","White","Unknown","Male","Unknown"
"118",1276170,"Chicago","IL",60649,"Pickup Truck","Blue","Black","Male","Unknown"
"119",1276240,"Forney","TX",75160,"Pickup Truck","Black","Unknown","Male","Unknown"
"120",1276320,"Spencer","WI",54479,"Van","Blue","Unknown","Unknown","Unknown"
"121",1276324,"Arlington","VA",22203,"Van","White","Unknown","Male","30"
"122",1276344,"Ormond Beach","FL",32174,"Sedan, 4 door","Silver","Hispanic","Male","30-40"
"123",1276353,"Miami","FL",33150,"Sedan, 4 door","Dark","Black","Male","Unknown"
"124",1276356,"Redwood Falls","MN",56283,"Pickup Truck","Dark","Unknown","Male","40-49"
"125",1276500,"Loudoun","VA",20165,"Sport Utility","Black","Unknown","Male","Unknown"
"126",1276538,"Baltic","CT",6330,"Van","White","Unknown","Male","40-49"
"127",1276596,"Wauregan","CT",6374,"Van","White","Unknown","Male","Unknown"
"128",1276621,"Round Rock","TX",78681,"Truck","Silver","White","Male","20-30"
"129",1276696,"Altoona","PA",16601,"Sport Utility","Blue","White","Male","Unknown"
"130",1276702,"Hellertown","PA",18055,"Pickup Truck","Gray","White","Male","45-55"
"131",1276703,"Hellertown","PA",18055,"Pickup Truck","Gray","White","Male","45-55"
"132",1276819,"Chicago","IL",60630,"Van","White","White","Male","40-50"
"133",1276886,"Bethel","CT",6801,"Sedan, 4 door","Black","White","Male","40"
"134",1277003,"Hadley","MA",1035,"Van","Gold","Hispanic","Male","Unknown"
"135",1277009,"Mt. Lebanon","PA",15228,"Sport Utility","White","White","Male","54-59"
"136",1277023,"Burnsville","MN",55337,"Sport Utility","Silver","White","Male","60"
"137",1277095,"Ormond Beach","FL",32174,"Truck","Blue, Light","White","Male","40-45"
"138",1277108,"Diamond","IL",60416,"Van","Gray","White","Male","30-39"
"139",1277286,"Temple","TX",76502,"Pickup Truck","Red","Unknown","Male","Unknown"
"140",1277312,"La Grange Park","IL",60526,"Sport Utility","Dark","White","Male","Unknown"
"141",1277315,"La Grange","IL",60525,"Sport Utility","Blue","White","Male","Unknown"
"142",1277355,"Daytona Beach","FL",32114,"Sedan, 4 door","Red","White","Male","40-49"
"143",1277487,"Roselle","NJ",7203,"Sport Utility","Silver","White","Male","30"
"144",1277537,"Rogers Park","IL",60645,"Sedan, 4 door","Blue, Light","Unknown","Male","40"
"145",1277852,"Burlington","NC",27215,"Truck","Silver","White","Male","30"
"146",1278100,"Arlington","TX",76018,"Pickup Truck","White","Unknown","Male","50-69"
"147",1278104,"Sunland Park","NM",88063,"Truck","Black","Unknown","Male","25-30"
"148",1278191,"Arvada","CO",80003,"Sport Utility","Silver","Hispanic","Male","Unknown"
"149",1278836,"Council Bluffs","IA",51501,"Sedan, 4 door","White","White","Male","50-60"
"150",1278951,"Buffalo","NY",14223,"Van","Blue","White","Male","Unknown"
"151",1278955,"La Grange Park","IL",60526,"Sport Utility","Blue","White","Male","Unknown"
"152",1279225,"Lubbock","TX",79424,"Pickup Truck","Blue","Unknown","Unknown","Unknown"
"153",1279229,"Chicago","IL",60630,"Sedan, 4 door","White","White","Male","50-59"
"154",1279233,"Chicago","IL",60641,"Van","Purple","Hispanic","Male","30-39"
"155",1279552,"Kissimmee","FL",34741,"Sedan, 2 door","Black","Unknown","Male","Unknown"
"156",1279926,"San Carlos","CA",94070,"Sedan, 4 door","Silver","White","Male","65-75"
"157",1279946,"Chicago","IL",60608,"Van","White","Black","Male","Unknown"
"158",1280085,"Virginia Beach","VA",23454,"Pickup Truck","White","White","Male","Unknown"
"159",1280409,"Seward","NE",68434,"Pickup Truck","Red","White","Male","20-29"
"160",1280715,"Sutherland","VA",23885,"Sport Utility","Gray","White","Male","50-60"
"161",1280728,"York","NE",68467,"Pickup Truck","Red","White","Male","20-25"
"162",1281008,"Okeechobee","FL",34972,"Sedan, 4 door","White","White","Male","40-45"
"163",1281317,"Fernandina Beach","FL",32034,"Sedan, 4 door","Gray","White","Male","20-29"
"164",1281738,"Monterey","CA",93940,"Coupe","White","Hispanic","Male","Unknown"
"165",1281742,"Bensenville","IL",60106,"Van","White","White","Male","50-59"
"166",1281744,"Charlotte","NC",28203,"Van","Blue","Unknown","Male","Unknown"
"167",1281769,"Corpus Christi","TX",78415,"Sedan, 2 door","Gray","Black","Male","30-40"
"168",1281849,"Kahului","HI",96732,"Sport Utility","Gold","Unknown","Male","Unknown"
"169",1281947,"Pleasanton","CA",94566,"Van","Dark","White","Male","50-55"
"170",1282145,"Spring City","UT",84662,"Sport Utility","Red","Unknown","Male","Unknown"
"171",1282148,"Spring City","UT",84662,"Sport Utility","Red","Unknown","Male","Unknown"
"172",1282232,"Chicago","IL",60645,"Sport Utility","Red","Unknown","Male","Unknown"
"173",1282235,"Chicago","IL",60631,"Sport Utility","Gold","White","Male","35-45"
"174",1282239,"Chicago","IL",60638,"Sedan, 4 door","White","Black","Male","30-40"
"175",1282246,"York","NE",68467,"Pickup Truck","Red","White","Male","Unknown"
"176",1282664,"Newnan","GA",30263,"Sedan, 4 door","Black","White","Male","25-26"
"177",1282689,"Leicester","MA",1524,"Sedan, 4 door","Burgundy","Unknown","Male","20-29"
"178",1282789,"Ocala","FL",34471,"Sedan, 4 door","Silver","Unknown","Male","Unknown"
"179",1283170,"Williamsport","PA",17701,"Pickup Truck","White","White","Male","25-35"
"180",1283548,"Southfield","MI",48075,"Pickup Truck","Black","White","Male","Unknown"
"181",1283614,"Kalamazoo","MI",49008,"Pickup Truck","Red","Unknown","Male","Unknown"
"182",1284016,"Harrisburg","NC",28075,"Sedan, 4 door","White","White","Male","45-55"
"183",1284183,"Jacksonville","FL",32226,"Truck","Silver","Unknown","Male","Unknown"
"184",1284201,"Rye","NY",10580,"Sedan, 4 door","White","White","Male","Unknown"
"185",1284341,"Westmont","IL",60559,"Sedan, 4 door","Beige","Unknown","Male","Unknown"
"186",1284495,"Arlington","VA",22202,"Van","White","White","Male","20-29"
"187",1284583,"Hamburg (Tilden Twp)","PA",19526,"Sport Utility","Black","Unknown","Unknown","Unknown"
"188",1284684,"Ferguson","MO",63136,"Sport Utility","Gold","Black","Male","30-39"
"189",1284937,"Miami","FL",33144,"Sport Utility","White","Black","Male","Unknown"
"190",1284943,"Miami","FL",33147,"Sport Utility","White","Black","Male","Unknown"
"191",1284964,"Colorado Springs","CO",80903,"Pickup Truck","Dark","Hispanic","Male","25-26"
"192",1284974,"Pittston","PA",18640,"Sedan, 4 door","Black","Black","Male","Unknown"
"193",1284981,"Conestoga","PA",17516,"Pickup Truck","Red","Unknown","Male","Unknown"
"194",1285117,"Winter Springs","FL",32771,"Pickup Truck","White","Unknown","Male","26-34"
"195",1261968,"Cleveland","OH",44135,"Sedan, 4 door","White","Unknown","Female","Unknown"
"196",1262695,"Chicago","IL",60646,"Sedan, 4 door","Black","Black","Male","25-35"
"197",1262696,"Chicago","IL",60634,"Sport Utility","White","White","Male","Unknown"
"198",1262706,"Essex","VT",5452,"Van","Red","Unknown","Female","Unknown"
"199",1263462,"Hilliard","OH",43026,"Van","Gray","Black","Male","16-23"
"200",1264459,"Stockton","CA",95219,"Station Wagon","Black","Black","Male","40-49"
"201",1266049,"Lake Butler","FL",32054,"Van","Dark","White","Female","35-50"
"202",1267793,"Chicago","IL",60645,"Sport Utility","Black","White","Female","20-30"
"203",1270414,"Clarksville","TN",37042,"Van","Red","Black","Male","25-26"
"204",1272761,"Peekskill","NY",10566,"Van","White","White","Male","20-29"
"205",1276320,"Spencer","WI",54479,"Van","Blue","Unknown","Male","Unknown"
"206",1281744,"Charlotte","NC",28203,"Van","Blue","Unknown","Female","13-17"
"207",1283548,"Southfield","MI",48075,"Pickup Truck","Black","White","Male","40-49"
"208",1284583,"Hamburg (Tilden Twp)","PA",19526,"Sport Utility","Black","White","Male","Unknown"
